SOC	Ecell/V
99.41458791	4.1693983
99.41351375	4.1694021
99.41243959	4.1693182
99.41136543	4.1692877
99.41029128	4.1692495
99.40921713	4.1694517
99.40814298	4.1693106
99.40706882	4.1691504
99.40599467	4.1692991
99.40492051	4.1692076
99.40384636	4.1692724
99.4027722	4.1691389
99.40169804	4.1691694
99.40062388	4.1690698
99.39954972	4.1689897
99.39847557	4.1690774
99.39740142	4.1690011
99.39632727	4.1689477
99.39525312	4.1689363
99.39417897	4.1689744
99.39310483	4.1688752
99.39203069	4.1688371
99.39095655	4.1688752
99.3898824	4.1687799
99.38880826	4.1687646
99.38773411	4.1687722
99.38665995	4.1687875
99.38558579	4.1686959
99.38451164	4.1686883
99.38343749	4.1686578
99.38236335	4.1687188
99.3812892	4.1686234
99.38021505	4.1686044
99.37914091	4.1684937
99.37806676	4.1685777
99.37699261	4.1685815
99.37591847	4.1684785
99.37484433	4.1684747
99.37377019	4.1684327
99.37269605	4.168406
99.37162191	4.1683259
99.37054777	4.1683793
99.36947362	4.1683412
99.36839947	4.1683145
99.36732532	4.1683183
99.36625116	4.1682992
99.36517701	4.1682725
99.36410286	4.1682339
99.3630287	4.168242
99.36195455	4.1681728
99.3608804	4.168169
99.35980624	4.1680927
99.35873209	4.1680965
99.35765794	4.1680698
99.35658379	4.168066
99.35550964	4.1679821
99.35443548	4.1679592
99.35336133	4.1678944
99.35228718	4.1679325
99.35121303	4.1679134
99.35013888	4.167841
99.34906473	4.1678524
99.34799057	4.1677761
99.34691641	4.1677952
99.34584226	4.1677341
99.3447681	4.1678181
99.34369394	4.1676998
99.34261978	4.1677036
99.34154562	4.167654
99.34047146	4.167654
99.33939731	4.1676273
99.33832317	4.1675587
99.33724902	4.1675358
99.33617486	4.1674747
99.3351007	4.1675243
99.33402654	4.1674786
99.33295239	4.1674175
99.33187824	4.1674023
99.3308041	4.1674519
99.32972995	4.1673374
99.32865581	4.1673603
99.32758167	4.167387
99.32650753	4.1673183
99.32543338	4.1672149
99.32435924	4.1671882
99.3232851	4.1672416
99.32221095	4.1671309
99.3211368	4.1671233
99.32006265	4.1670623
99.3189885	4.1671615
99.31791435	4.167192
99.3168402	4.1671309
99.31576606	4.1669517
99.31469191	4.1669898
99.31361776	4.166944
99.31254361	4.1668906
99.31146946	4.1668754
99.31039532	4.1669059
99.30932118	4.166883
99.30824704	4.1668677
99.3071729	4.1668105
99.30609876	4.1667571
99.30502461	4.1667609
99.30395048	4.1668143
99.30287634	4.1667609
99.30180221	4.1667037
